epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,6615.12,0.36826,0.31874,0.8745,0.99556,0.97715,0.99414,0.95847,0.23253,0.19587,0.73553,0.00101,0.00101,0.00101
152,6653.92,0.35924,0.32176,0.86831,0.98169,0.97394,0.99337,0.9576,0.23162,0.21151,0.73522,0.0010034,0.0010034,0.0010034
153,6691.25,0.35674,0.31444,0.87226,0.98891,0.97184,0.99317,0.95616,0.23805,0.20337,0.73453,0.0009968,0.0009968,0.0009968
154,6731.25,0.35685,0.31092,0.86785,0.98986,0.97093,0.99391,0.96031,0.22705,0.20673,0.73164,0.0009902,0.0009902,0.0009902
155,6769.75,0.36032,0.31626,0.86953,0.98966,0.97602,0.9938,0.96004,0.22584,0.21947,0.73217,0.0009836,0.0009836,0.0009836
156,6808.8,0.35515,0.30847,0.86832,0.98971,0.97093,0.99354,0.96049,0.22058,0.20524,0.73181,0.000977,0.000977,0.000977
157,6847.36,0.35083,0.3115,0.87017,0.99226,0.97674,0.99406,0.95898,0.23525,0.19996,0.73674,0.0009704,0.0009704,0.0009704
158,6884.67,0.34974,0.30803,0.86718,0.99688,0.97529,0.99428,0.96146,0.22819,0.21189,0.73444,0.0009638,0.0009638,0.0009638
159,6923.49,0.34478,0.30562,0.8673,0.99516,0.97529,0.99393,0.95867,0.23054,0.19166,0.73594,0.0009572,0.0009572,0.0009572
160,6961.6,0.34679,0.30328,0.86354,0.99407,0.9746,0.99402,0.9575,0.23417,0.19144,0.73651,0.0009506,0.0009506,0.0009506
161,7000.06,0.35422,0.31043,0.86865,0.98528,0.97302,0.99384,0.96107,0.22555,0.18972,0.73416,0.000944,0.000944,0.000944
162,7038.05,0.34623,0.29775,0.86865,0.98827,0.97968,0.99431,0.95896,0.22598,0.19076,0.73289,0.0009374,0.0009374,0.0009374
163,7076.98,0.33723,0.29231,0.8622,0.99152,0.97747,0.99445,0.96264,0.22142,0.18181,0.73195,0.0009308,0.0009308,0.0009308
164,7114.27,0.34577,0.29453,0.86695,0.98678,0.97965,0.99442,0.96231,0.22233,0.18201,0.73262,0.0009242,0.0009242,0.0009242
165,7152.51,0.33453,0.29057,0.85996,0.99113,0.97418,0.99399,0.96336,0.21588,0.18256,0.73066,0.0009176,0.0009176,0.0009176
166,7190.28,0.32707,0.28347,0.86229,0.99043,0.97826,0.99429,0.96649,0.20805,0.18634,0.72778,0.000911,0.000911,0.000911
167,7228.59,0.34038,0.30026,0.86237,0.99333,0.97421,0.99411,0.96153,0.21442,0.18428,0.72752,0.0009044,0.0009044,0.0009044
168,7266.76,0.33423,0.29133,0.85959,0.99557,0.98029,0.99426,0.96081,0.22282,0.17917,0.72993,0.0008978,0.0008978,0.0008978
169,7304.83,0.33534,0.28834,0.86105,0.99777,0.97639,0.99444,0.96284,0.21756,0.17714,0.72941,0.0008912,0.0008912,0.0008912
170,7343.17,0.33787,0.29393,0.85787,0.99753,0.97892,0.9944,0.96263,0.21926,0.18827,0.72902,0.0008846,0.0008846,0.0008846
